DESCRIPTION,CODE1,CODE1TYPE,SETTING,DRUG_UNIT_OF_MEASUREMENT,DRUG_TYPE_OF_MEASUREMENT,STANDARD_CHARGEGROSS,STANDARD_CHARGEDISCOUNTED_CASH
FUROSEMIDE 10 MG/ML INJECTION SOLUTION [3291],7260313325 [355902],NDC,BOTH,2,ML,21.53,18.08
FUROSEMIDE 10 MG/ML INJECTION SYRINGE [128084],0409163910 [129494],NDC,BOTH,10,ML,140.96,118.41
FUROSEMIDE 10 MG/ML ORAL SOLUTION [3292],0054329450 [4190],NDC,BOTH,120,ML,311.85,261.95
FUROSEMIDE 10 MG/ML ORAL SOLUTION [3292],6043261360 [85841],NDC,BOTH,60,ML,156.45,131.42
FUROSEMIDE 10 MG/ML ORAL SOLUTION(NEO/PED) [171498],0054329446 [4189],NDC,BOTH,60,ML,67.46,56.67
FUROSEMIDE 20 MG TABLET [3294],0054829725 [4401],NDC,BOTH,1,EA ,3.41,2.87
FUROSEMIDE 20 MG TABLET [3294],4354740111 [301031],NDC,BOTH,1,EA ,2.63,2.21
FUROSEMIDE 20 MG TABLET [3294],5107907201 [55714],NDC,BOTH,1,EA ,2.63,2.21
FUROSEMIDE 20 MG TABLET [3294],5107907220 [55717],NDC,BOTH,1,EA ,2.63,2.21
FUROSEMIDE 20 MG TABLET [3294],6330462401 [177575],NDC,BOTH,1,EA ,2.63,2.21
FUROSEMIDE 20 MG TABLET [3294],6330462410 [177576],NDC,BOTH,1,EA ,2.63,2.21
FUROSEMIDE 40 MG TABLET [3295],0054429925 [4279],NDC,BOTH,1,EA ,3.41,2.87
FUROSEMIDE 40 MG TABLET [3295],0054429931 [4280],NDC,BOTH,1,EA ,3.15,2.65
FUROSEMIDE 40 MG TABLET [3295],0054829925 [4403],NDC,BOTH,1,EA ,3.94,3.31
FUROSEMIDE 40 MG TABLET [3295],0378021601 [17707],NDC,BOTH,1,EA ,2.63,2.21
FUROSEMIDE 40 MG TABLET [3295],0378021610 [17708],NDC,BOTH,1,EA ,2.63,2.21
FUROSEMIDE 40 MG TABLET [3295],0781196610 [25126],NDC,BOTH,1,EA ,2.63,2.21
FUROSEMIDE 40 MG TABLET [3295],5107907301 [55720],NDC,BOTH,1,EA ,2.63,2.21
FUROSEMIDE 40 MG TABLET [3295],5107907320 [55723],NDC,BOTH,1,EA ,2.63,2.21
FUROSEMIDE 40 MG TABLET [3295],6330462501 [177577],NDC,BOTH,1,EA ,2.63,2.21
FUROSEMIDE 40 MG TABLET [3295],6931511701 [286995],NDC,BOTH,1,EA ,2.63,2.21
FUROSEMIDE 40 MG/4 ML ORAL SOLUTION [97803],00000000040 [285248],NDC,BOTH,4,ML,13.39,11.25
FUROSEMIDE 40 MG/4 ML ORAL SOLUTION [97803],6809475659 [237830],NDC,BOTH,4,ML,16.01,13.45
FUROSEMIDE 40 MG/4 ML ORAL SOLUTION [97803],6809475662 [237831],NDC,BOTH,4,ML,16.01,13.45
FUROSEMIDE 40 MG/5 ML (8 MG/ML) ORAL SOLUTION [3293],0054329863 [4191],NDC,BOTH,500,ML,253.58,213
FUROSEMIDE 40 MG/5 ML (8 MG/ML) ORAL SOLUTION [3293],6809486759 [282597],NDC,BOTH,5,ML,16.01,13.45
FUROSEMIDE 40 MG/5 ML (8 MG/ML) ORAL SOLUTION [3293],6809486762 [282598],NDC,BOTH,5,ML,16.01,13.45
FUROSEMIDE 40 MG/5 ML (8 MG/ML) ORAL SOLUTION [3293],7700205205 [289155],NDC,BOTH,5,ML,3.41,2.87
GABAPENTIN 100 MG CAPSULE [18309],0904666561 [304864],NDC,BOTH,1,EA ,2.63,2.21
GABAPENTIN 100 MG CAPSULE [18309],1671466101 [192171],NDC,BOTH,1,EA ,3.68,3.09
GABAPENTIN 100 MG CAPSULE [18309],1671466102 [192172],NDC,BOTH,1,EA ,3.68,3.09
GABAPENTIN 100 MG CAPSULE [18309],4596355511 [255572],NDC,BOTH,1,EA ,3.68,3.09
GABAPENTIN 100 MG CAPSULE [18309],5976250261 [112979],NDC,BOTH,1,EA ,3.68,3.09
GABAPENTIN 100 MG CAPSULE [18309],6068758001 [332891],NDC,BOTH,1,EA ,3.94,3.31
GABAPENTIN 100 MG CAPSULE [18309],6068758011 [332892],NDC,BOTH,1,EA ,3.94,3.31
GABAPENTIN 100 MG CAPSULE [18309],6373959110 [286738],NDC,BOTH,1,EA ,2.63,2.21
GABAPENTIN 100 MG CAPSULE [18309],6373990210 [344947],NDC,BOTH,1,EA ,2.63,2.21
GABAPENTIN 100 MG CAPSULE [18309],6586219801 [195161],NDC,BOTH,1,EA ,3.68,3.09
GABAPENTIN 100 MG CAPSULE [18309],6787722201 [209052],NDC,BOTH,1,EA ,3.68,3.09
GABAPENTIN 100 MG CAPSULE [18309],6808478301 [257448],NDC,BOTH,1,EA ,3.94,3.31
GABAPENTIN 250 MG/5 ML ORAL SOLUTION [29169],0071201223 [5437],NDC,BOTH,470,ML,1722.79,1447.14
GABAPENTIN 250 MG/5 ML ORAL SOLUTION [29169],0071201244 [325832],NDC,BOTH,470,ML,1539.04,1292.79
GABAPENTIN 250 MG/5 ML ORAL SOLUTION [29169],4219260816 [228541],NDC,BOTH,470,ML,1349.78,1133.81
GABAPENTIN 250 MG/5 ML ORAL SOLUTION [29169],5038331147 [205848],NDC,BOTH,470,ML,590.63,496.13
GABAPENTIN 250 MG/5 ML ORAL SOLUTION [29169],5976250251 [208401],NDC,BOTH,470,ML,590.63,496.13
GABAPENTIN 250 MG/5 ML ORAL SOLUTION [29169],5976250501 [325151],NDC,BOTH,470,ML,590.63,496.13
GABAPENTIN 250 MG/5 ML ORAL SOLUTION [29169],6516269890 [223513],NDC,BOTH,473,ML,596.93,501.42
GABAPENTIN 250 MG/5 ML ORAL SOLUTION [29169],7700470808 [287687],NDC,BOTH,8,ML,16.54,13.89
GABAPENTIN 300 MG CAPSULE [18308],0071080540 [5421],NDC,BOTH,1,EA ,30.71,25.8
GABAPENTIN 300 MG CAPSULE [18308],0904666661 [304865],NDC,BOTH,1,EA ,2.89,2.43
GABAPENTIN 300 MG CAPSULE [18308],1671450401 [289498],NDC,BOTH,1,EA ,8.66,7.28
GABAPENTIN 300 MG CAPSULE [18308],1671450402 [289499],NDC,BOTH,1,EA ,4.99,4.19
GABAPENTIN 300 MG CAPSULE [18308],1671466201 [192173],NDC,BOTH,1,EA ,8.66,7.28
GABAPENTIN 300 MG CAPSULE [18308],1671466202 [192174],NDC,BOTH,1,EA ,4.99,4.19
GABAPENTIN 300 MG CAPSULE [18308],4354738450 [291004],NDC,BOTH,1,EA ,8.66,7.28
GABAPENTIN 300 MG CAPSULE [18308],4948360650 [285992],NDC,BOTH,1,EA ,8.93,7.5
GABAPENTIN 300 MG CAPSULE [18308],5140704890 [311621],NDC,BOTH,1,EA ,2.63,2.21
GABAPENTIN 300 MG CAPSULE [18308],5865762101 [292227],NDC,BOTH,1,EA ,8.66,7.28
GABAPENTIN 300 MG CAPSULE [18308],5976250271 [112980],NDC,BOTH,1,EA ,8.66,7.28
GABAPENTIN 300 MG CAPSULE [18308],6068759101 [332893],NDC,BOTH,1,EA ,9.19,7.72
GABAPENTIN 300 MG CAPSULE [18308],6068759111 [332894],NDC,BOTH,1,EA ,9.19,7.72
GABAPENTIN 300 MG CAPSULE [18308],6373923610 [286737],NDC,BOTH,1,EA ,2.89,2.43
GABAPENTIN 300 MG CAPSULE [18308],6586219901 [195164],NDC,BOTH,1,EA ,8.66,7.28
GABAPENTIN 300 MG CAPSULE [18308],6808476201 [267199],NDC,BOTH,1,EA ,9.19,7.72
GABAPENTIN 300 MG CAPSULE [18308],6808476211 [267200],NDC,BOTH,1,EA ,9.19,7.72
GABAPENTIN 300 MG CAPSULE [18308],7109312104 [307714],NDC,BOTH,1,EA ,8.66,7.28
GABAPENTIN 300 MG/6 ML (6 ML) ORAL SOLUTION [134056],4219260806 [324782],NDC,BOTH,6,ML,44.63,37.49
GABAPENTIN 300 MG/6 ML (6 ML) ORAL SOLUTION [134056],4219260840 [324783],NDC,BOTH,6,ML,44.63,37.49
GABAPENTIN 300 MG/6 ML (6 ML) ORAL SOLUTION [134056],7700470806 [332508],NDC,BOTH,6,ML,32.55,27.34
GABAPENTIN 400 MG CAPSULE [18307],0904666761 [304866],NDC,BOTH,1,EA ,2.89,2.43
GABAPENTIN 400 MG CAPSULE [18307],1671466301 [192175],NDC,BOTH,1,EA ,10.5,8.82
GABAPENTIN 400 MG CAPSULE [18307],1671466302 [192176],NDC,BOTH,1,EA ,10.24,8.6
GABAPENTIN 400 MG CAPSULE [18307],4354738510 [291005],NDC,BOTH,1,EA ,8.66,7.28
GABAPENTIN 400 MG CAPSULE [18307],4596355711 [255574],NDC,BOTH,1,EA ,10.5,8.82
GABAPENTIN 400 MG CAPSULE [18307],4948360701 [285993],NDC,BOTH,1,EA ,10.5,8.82
GABAPENTIN 400 MG CAPSULE [18307],5140704905 [311622],NDC,BOTH,1,EA ,2.63,2.21
GABAPENTIN 400 MG CAPSULE [18307],5140704927 [311623],NDC,BOTH,1,EA ,2.63,2.21
GABAPENTIN 400 MG CAPSULE [18307],6068760201 [332895],NDC,BOTH,1,EA ,8.14,6.84
GABAPENTIN 400 MG CAPSULE [18307],6068760211 [332896],NDC,BOTH,1,EA ,8.14,6.84
GABAPENTIN 400 MG CAPSULE [18307],6373998410 [286740],NDC,BOTH,1,EA ,2.89,2.43
GABAPENTIN 400 MG CAPSULE [18307],6516210310 [177765],NDC,BOTH,1,EA ,10.5,8.82
GABAPENTIN 400 MG CAPSULE [18307],6787722401 [209056],NDC,BOTH,1,EA ,10.5,8.82
GABAPENTIN 400 MG CAPSULE [18307],6808477401 [257440],NDC,BOTH,1,EA ,8.14,6.84
GABAPENTIN 400 MG CAPSULE [18307],6808477411 [257441],NDC,BOTH,1,EA ,8.14,6.84
GABAPENTIN 400 MG CAPSULE [18307],6936713304 [288774],NDC,BOTH,1,EA ,10.5,8.82
GADOBENATE DIMEGLUMINE 529 MG/ML(0.1 MMOL/0.2 ML) INTRAVENOUS SOLUTION [41137],0270516415 [120726],NDC,BOTH,20,ML,132.56,111.35
GADOPENTETATE DIMEGLUMINE 10 MMOL/20 ML(469.01 MG/ML) INTRAVENOUS SOLN [131400],5041918884 [291513],NDC,BOTH,20,ML,104.74,87.98
GADOPENTETATE DIMEGLUMINE 2.5 MMOL/5 ML(469.01 MG/ML) INTRAVENOUS SOLN [131397],5041918881 [291510],NDC,BOTH,5,ML,29.14,24.48
GADOTERATE MEGLUMINE 0.5 MMOL/ML (376.9 MG/ML) INTRAVENOUS SOLUTION [124929],6768420001 [252541],NDC,BOTH,10,ML,63.53,53.36
GADOTERATE MEGLUMINE 0.5 MMOL/ML (376.9 MG/ML) INTRAVENOUS SOLUTION [124929],6768420002 [252542],NDC,BOTH,15,ML,95.29,80.04
GADOTERATE MEGLUMINE 0.5 MMOL/ML (376.9 MG/ML) INTRAVENOUS SOLUTION [124929],6768420003 [252543],NDC,BOTH,20,ML,126.79,106.5
GADOTERIDOL 279.3 MG/ML INTRAVENOUS SOLUTION [10100],0270111103 [16277],NDC,BOTH,20,ML,497.96,418.29
GADOXETATE 0.25 MMOL/ML (181.43 MG/ML) INTRAVENOUS SOLUTION [93574],5041932005 [198929],NDC,BOTH,10,ML,179.03,150.38
GALANTAMINE 12 MG TABLET [29808],5045839860 [121643],NDC,BOTH,1,EA ,41.74,35.06
GALANTAMINE 12 MG TABLET [29808],5723705160 [250605],NDC,BOTH,1,EA ,20.74,17.42
GALANTAMINE 12 MG TABLET [29808],6050525446 [237163],NDC,BOTH,1,EA ,20.74,17.42
GALANTAMINE 12 MG TABLET [29808],6586246060 [214016],NDC,BOTH,1,EA ,20.74,17.42
GALANTAMINE 12 MG TABLET [29808],7043600606 [300353],NDC,BOTH,1,EA ,20.74,17.42
GALANTAMINE 4 MG TABLET [29806],5107985201 [188841],NDC,BOTH,1,EA ,27.56,23.15
GALANTAMINE 4 MG TABLET [29806],5107985203 [188842],NDC,BOTH,1,EA ,27.56,23.15
GALANTAMINE 4 MG TABLET [29806],5723704960 [250603],NDC,BOTH,1,EA ,20.74,17.42
GALANTAMINE 4 MG TABLET [29806],6050525426 [237161],NDC,BOTH,1,EA ,20.74,17.42
GALANTAMINE 4 MG TABLET [29806],6586245860 [214014],NDC,BOTH,1,EA ,20.74,17.42
GALANTAMINE 4 MG TABLET [29806],7043600406 [300351],NDC,BOTH,1,EA ,20.74,17.42
GALLIUM CITRATE GA 67 [40840060],00019918006 [277253],NDC,BOTH,1,ML,171.15,143.77
GANCICLOVIR SODIUM 50 MG/ML INTRAVENOUS SOLUTION [178763],2502118510 [302875],NDC,BOTH,10,ML,284.29,238.8
GANCICLOVIR SODIUM 50 MG/ML INTRAVENOUS SOLUTION [178763],2502118511 [324722],NDC,BOTH,10,ML,284.29,238.8
GANCICLOVIR SODIUM 500 MG INTRAVENOUS SOLUTION [10101],4202317301 [290218],NDC,BOTH,1,EA ,340.99,286.43
GANCICLOVIR SODIUM 500 MG INTRAVENOUS SOLUTION [10101],4202317301 [290218],NDC,BOTH,5,ME,340.99,286.43
GANCICLOVIR SODIUM 500 MG INTRAVENOUS SOLUTION [10101],4202317325 [290219],NDC,BOTH,1,EA ,340.99,286.43
GANCICLOVIR SODIUM 500 MG INTRAVENOUS SOLUTION [10101],6332331501 [333032],NDC,BOTH,1,EA ,460.69,386.98
GANCICLOVIR SODIUM 500 MG INTRAVENOUS SOLUTION [10101],6332331510 [200229],NDC,BOTH,1,EA ,460.69,386.98
GANCICLOVIR SODIUM 500 MG INTRAVENOUS SOLUTION [10101],7043608955 [314446],NDC,BOTH,1,EA ,401.1,336.92
GELATIN ABSORBABLE EYE FILM [28028],0009029703 [126987],NDC,BOTH,1,EA ,927.68,779.25
GELATIN ABSORBABLE MUCOSAL POWDER [28017],0009043304 [1928],NDC,BOTH,1,GM,360.41,302.75
GELATIN ABSORBABLE MUCOSAL POWDER [28017],6371301978 [304921],NDC,BOTH,1,GM,396.64,333.18
GEMCITABINE 1 GRAM INTRAVENOUS SOLUTION [17122],0409018601 [209540],NDC,BOTH,1,EA ,217.61,182.79
GEMCITABINE 1 GRAM INTRAVENOUS SOLUTION [17122],1672911711 [210302],NDC,BOTH,1,EA ,284.29,238.8
GEMCITABINE 1 GRAM INTRAVENOUS SOLUTION [17122],2502123550 [271287],NDC,BOTH,1,EA ,235.2,197.57
GEMCITABINE 1 GRAM INTRAVENOUS SOLUTION [17122],5511168725 [213331],NDC,BOTH,1,EA ,2342.29,1967.52
GEMCITABINE 1 GRAM INTRAVENOUS SOLUTION [17122],6332312553 [231342],NDC,BOTH,1,EA ,232.31,195.14
GEMCITABINE 1 GRAM INTRAVENOUS SOLUTION [17122],6745746201 [257282],NDC,BOTH,1,EA ,355.43,298.56
GEMCITABINE 1 GRAM INTRAVENOUS SOLUTION [17122],7086020550 [298835],NDC,BOTH,1,EA ,213.15,179.05
GEMCITABINE 1 GRAM INTRAVENOUS SOLUTION [17122],7086020550 [298835],NDC,BOTH,1000,ME,213.15,179.05
GEMCITABINE 1 GRAM INTRAVENOUS SOLUTION [17122],7086020550 [298835],NDC,BOTH,2000,ME,426.3,358.09
GEMCITABINE 1 GRAM INTRAVENOUS SOLUTION [17122],7128811450 [314554],NDC,BOTH,1,EA ,217.61,182.79
GEMCITABINE 1 GRAM/26.3 ML (38 MG/ML) INTRAVENOUS SOLUTION [112787],0409018101 [215128],NDC,BOTH,1000,ME,386.4,324.58
GEMCITABINE 1 GRAM/26.3 ML (38 MG/ML) INTRAVENOUS SOLUTION [112787],0409018101 [215128],NDC,BOTH,26.3,ML,214.73,180.37
GEMCITABINE 1 GRAM/26.3 ML (38 MG/ML) INTRAVENOUS SOLUTION [112787],4596362458 [285944],NDC,BOTH,26.3,ML,211.58,177.72
GEMCITABINE 1 GRAM/26.3 ML (38 MG/ML) INTRAVENOUS SOLUTION [112787],6050561140 [301459],NDC,BOTH,26.3,ML,211.58,177.72
GEMCITABINE 1 GRAM/26.3 ML (38 MG/ML) INTRAVENOUS SOLUTION [112787],6745761730 [300197],NDC,BOTH,26.3,ML,252,211.68
GEMCITABINE 100 MG/ML INTRAVENOUS SOLUTION [178042],1672939130 [300814],NDC,BOTH,2,ML,208.43,175.08
GEMCITABINE 2 GRAM/52.6 ML (38 MG/ML) INTRAVENOUS SOLUTION [112788],0409018201 [215129],NDC,BOTH,52.6,ML,429.19,360.52
GEMCITABINE 2 GRAM/52.6 ML (38 MG/ML) INTRAVENOUS SOLUTION [112788],7128811754 [337582],NDC,BOTH,52.6,ML,210.79,177.06
GEMCITABINE 200 MG INTRAVENOUS SOLUTION [17121],1672909203 [210301],NDC,BOTH,1,EA ,250.95,210.8
GEMCITABINE 200 MG INTRAVENOUS SOLUTION [17121],2502123410 [271286],NDC,BOTH,1,EA ,93.98,78.94
GEMCITABINE 200 MG INTRAVENOUS SOLUTION [17121],5511168607 [213330],NDC,BOTH,1,EA ,631.84,530.74
GEMCITABINE 200 MG INTRAVENOUS SOLUTION [17121],6332310213 [237302],NDC,BOTH,1,EA ,93.71,78.72
GEMCITABINE 200 MG INTRAVENOUS SOLUTION [17121],6745746420 [257284],NDC,BOTH,1,EA ,117.08,98.34
GEMCITABINE 200 MG/5.26 ML (38 MG/ML) INTRAVENOUS SOLUTION [112786],0409018301 [215130],NDC,BOTH,5.26,ML,70.88,59.54
GEMCITABINE 200 MG/5.26 ML (38 MG/ML) INTRAVENOUS SOLUTION [112786],6050561136 [301458],NDC,BOTH,5.26,ML,69.83,58.65
GEMCITABINE 200 MG/5.26 ML (38 MG/ML) INTRAVENOUS SOLUTION [112786],6745761610 [301736],NDC,BOTH,5.26,ML,62.74,52.7
GEMCITABINE 200 MG/5.26 ML (38 MG/ML) INTRAVENOUS SOLUTION [112786],7128811706 [337580],NDC,BOTH,5.26,ML,58.54,49.17
GEMCITABINE 200 MG/5.26 ML (38 MG/ML) INTRAVENOUS SOLUTION [112786],7248522102 [325707],NDC,BOTH,5.26,ML,39.11,32.85
GEMFIBROZIL 600 MG TABLET [3378],1671410102 [204690],NDC,BOTH,1,EA ,14.7,12.35
GEMFIBROZIL 600 MG TABLET [3378],6068722401 [288522],NDC,BOTH,1,EA ,15.23,12.79
GEMTUZUMAB OZOGAMICIN 4.5 MG (1 MG/ML INITIAL CONCENTRATION) IV SOLN [176951],0008451001 [297912],NDC,BOTH,1,EA ,16679.25,14010.57
GENTAMICIN 0.1 % TOPICAL CREAM [3423],0713068315 [295534],NDC,BOTH,15,GM,258.3,216.97
GENTAMICIN 0.1 % TOPICAL CREAM [3423],4580205635 [47852],NDC,BOTH,15,GM,258.3,216.97
GENTAMICIN 0.1 % TOPICAL CREAM [3423],5256508515 [324180],NDC,BOTH,15,GM,258.3,216.97
GENTAMICIN 0.1 % TOPICAL OINTMENT [3424],4580204611 [47835],NDC,BOTH,30,GM,389.81,327.44
GENTAMICIN 0.1 % TOPICAL OINTMENT [3424],4580204635 [47836],NDC,BOTH,15,GM,258.3,216.97
GENTAMICIN 0.1 % TOPICAL OINTMENT [3424],5256509015 [315519],NDC,BOTH,15,GM,258.3,216.97
GENTAMICIN 0.3 % EYE DROPS [3428],1747828310 [39266],NDC,BOTH,5,ML,124.69,104.74
GENTAMICIN 0.3 % EYE DROPS [3428],2420858060 [40500],NDC,BOTH,5,ML,224.18,188.31
GENTAMICIN 0.3 % EYE DROPS [3428],6075818805 [86238],NDC,BOTH,5,ML,124.69,104.74
GENTAMICIN 0.3 % EYE DROPS [3428],6131463305 [86645],NDC,BOTH,5,ML,140.96,118.41
GENTAMICIN 100 MG/100 ML IN SODIUM CHLORIDE(ISO) INTRAVENOUS PIGGYBACK [10108],0338050548 [17125],NDC,BOTH,100,ML,92.4,77.62
GENTAMICIN 40 MG/ML INJECTION SOLUTION [3426],0409120703 [123496],NDC,BOTH,1,ME,11.03,9.26
GENTAMICIN 40 MG/ML INJECTION SOLUTION [3426],0409120703 [123496],NDC,BOTH,2,ML,18.38,15.44
GENTAMICIN 40 MG/ML INJECTION SOLUTION [3426],0409120703 [123496],NDC,BOTH,40,ME,12.86,10.8
GENTAMICIN 40 MG/ML INJECTION SOLUTION [3426],0409120713 [302508],NDC,BOTH,2,ML,18.38,15.44
GENTAMICIN 40 MG/ML INJECTION SOLUTION [3426],6332301001 [342135],NDC,BOTH,2,ML,34.91,29.33
GENTAMICIN 40 MG/ML INJECTION SOLUTION [3426],6332301002 [89669],NDC,BOTH,2,ML,34.91,29.33
GENTAMICIN 40 MG/ML INJECTION SOLUTION [3426],6332301003 [342136],NDC,BOTH,20,ML,166.95,140.24
GENTAMICIN 40 MG/ML INJECTION SOLUTION [3426],6332301020 [89670],NDC,BOTH,20,ML,166.95,140.24
GENTAMICIN 40 MG/ML INJECTION SOLUTION [3426],6332301041 [342137],NDC,BOTH,2,ML,16.01,13.45
GENTAMICIN 40 MG/ML INJECTION SOLUTION [3426],6332301042 [342138],NDC,BOTH,20,ML,156.71,131.64
GENTAMICIN 40 MG/ML INJECTION SOLUTION [3426],6332301094 [252147],NDC,BOTH,2,ML,16.01,13.45
GENTAMICIN 40 MG/ML INJECTION SOLUTION [3426],6332301095 [252148],NDC,BOTH,20,ML,156.71,131.64
GENTAMICIN 80 MG/100 ML IN SODIUM CHLORIDE(ISO) INTRAVENOUS PIGGYBACK [10106],0338050348 [17124],NDC,BOTH,100,ML,90.56,76.07
GENTAMICIN SULFATE (PEDIATRIC) (PF) 20 MG/2 ML INJECTION SOLUTION [3425],6332317301 [346173],NDC,BOTH,2,ML,132.56,111.35
GENTAMICIN SULFATE (PEDIATRIC) (PF) 20 MG/2 ML INJECTION SOLUTION [3425],6332317301 [346173],NDC,BOTH,4,ME,572.25,480.69
GENTAMICIN SULFATE (PEDIATRIC) (PF) 20 MG/2 ML INJECTION SOLUTION [3425],6332317302 [89774],NDC,BOTH,2,ML,132.56,111.35
GENTAMICIN SULFATE (PEDIATRIC) (PF) 20 MG/2 ML INJECTION SOLUTION [3425],6332317394 [252152],NDC,BOTH,2,ML,90.04,75.63
GENTIAN VIOLET 1 % TOPICAL SOLUTION [3430],0395100392 [162367],NDC,BOTH,59,ML,54.08,45.42
GI COCKTAIL [172665],00000000135 [287666],NDC,BOTH,50,ML,74.03,62.18
GLATIRAMER 20 MG/ML SUBCUTANEOUS SYRINGE [134145],6854631730 [167330],NDC,BOTH,1,ML,978.08,821.58
GLATIRAMER 40 MG/ML SUBCUTANEOUS SYRINGE [125161],6854632512 [252988],NDC,BOTH,1,ML,1707.04,1433.91
GLIMEPIRIDE 1 MG TABLET [16355],0039022110 [3495],NDC,BOTH,1,EA ,10.5,8.82
GLIMEPIRIDE 1 MG TABLET [16355],1672900101 [170009],NDC,BOTH,1,EA ,2.63,2.21
GLIMEPIRIDE 1 MG TABLET [16355],5026835811 [321931],NDC,BOTH,1,EA ,6.56,5.51
GLIMEPIRIDE 1 MG TABLET [16355],5026835815 [321932],NDC,BOTH,1,EA ,6.56,5.51
GLIMEPIRIDE 1 MG TABLET [16355],5511132001 [128835],NDC,BOTH,1,EA ,2.63,2.21
GLIMEPIRIDE 2 MG TABLET [16356],0039022210 [3496],NDC,BOTH,1,EA ,16.8,14.11
GLIMEPIRIDE 2 MG TABLET [16356],5107942501 [141015],NDC,BOTH,1,EA ,8.14,6.84
GLIMEPIRIDE 2 MG TABLET [16356],5107942520 [130695],NDC,BOTH,1,EA ,8.14,6.84
GLIMEPIRIDE 2 MG TABLET [16356],5511132101 [128837],NDC,BOTH,1,EA ,4.46,3.75
GLIMEPIRIDE 2 MG TABLET [16356],6808432601 [184857],NDC,BOTH,1,EA ,5.78,4.85
GLIMEPIRIDE 2 MG TABLET [16356],6808432611 [184858],NDC,BOTH,1,EA ,5.78,4.85
GLIMEPIRIDE 2 MG TABLET [16356],6954312410 [283057],NDC,BOTH,1,EA ,11.55,9.7
GLIMEPIRIDE 4 MG TABLET [16357],0039022310 [3498],NDC,BOTH,1,EA ,31.76,26.68
GLIMEPIRIDE 4 MG TABLET [16357],1672900301 [170011],NDC,BOTH,1,EA ,8.14,6.84
GLIMEPIRIDE 4 MG TABLET [16357],6808432701 [184859],NDC,BOTH,1,EA ,8.14,6.84
GLIMEPIRIDE 4 MG TABLET [16357],6808432711 [184860],NDC,BOTH,1,EA ,8.14,6.84
GLIPIZIDE 10 MG TABLET [10116],0591046101 [21862],NDC,BOTH,1,EA ,3.94,3.31
GLIPIZIDE 10 MG TABLET [10116],0781145301 [24983],NDC,BOTH,1,EA ,3.94,3.31
GLIPIZIDE 10 MG TABLET [10116],0781145310 [24984],NDC,BOTH,1,EA ,3.68,3.09
GLIPIZIDE 10 MG TABLET [10116],5107981101 [56235],NDC,BOTH,1,EA ,4.99,4.19
GLIPIZIDE 10 MG TABLET [10116],5107981120 [56238],NDC,BOTH,1,EA ,4.99,4.19
GLIPIZIDE 10 MG TABLET [10116],6050501420 [85936],NDC,BOTH,1,EA ,4.46,3.75
GLIPIZIDE 5 MG TABLET [10117],0591046005 [21860],NDC,BOTH,1,EA ,2.36,1.98
GLIPIZIDE 5 MG TABLET [10117],0781145201 [24981],NDC,BOTH,1,EA ,2.36,1.98
GLIPIZIDE 5 MG TABLET [10117],0904663761 [295639],NDC,BOTH,1,EA ,2.63,2.21
GLIPIZIDE 5 MG TABLET [10117],5107981001 [56230],NDC,BOTH,1,EA ,2.63,2.21
GLIPIZIDE 5 MG TABLET [10117],5107981020 [56232],NDC,BOTH,1,EA ,2.63,2.21
GLUCAGON (HUMAN RECOMBINANT) 1 MG/ML SOLUTION WRAPPER [181264],0548585000 [336507],NDC,BOTH,1,EA ,1155,970.2
GLUCAGON (HUMAN RECOMBINANT) 1 MG/ML SOLUTION WRAPPER [181264],0597026010 [276892],NDC,BOTH,1,EA ,707.7,594.47
GLUCAGON (HUMAN RECOMBINANT) 1 MG/ML SOLUTION WRAPPER [181264],6332359303 [282008],NDC,BOTH,1,EA ,703.24,590.72
GLUCAGON 1 MG SOLUTION FOR INJECTION [41569],0002803101 [168],NDC,BOTH,1,EA ,1158.15,972.85
GLUCOSE (TOLERANCE TEST) 100 GRAM/180 ML ORAL LIQUID [27650],0574195906 [21702],NDC,BOTH,180,ML,65.63,55.13
GLUCOSE 4 GRAM CHEWABLE TABLET [16050],8068110000 [335272],NDC,BOTH,1,EA ,2.89,2.43
GLYBURIDE 1.25 MG TABLET [10125],0093834201 [9496],NDC,BOTH,1,EA ,2.89,2.43
GLYBURIDE 1.25 MG TABLET [10125],0093947753 [9564],NDC,BOTH,1,EA ,2.89,2.43
GLYBURIDE 2.5 MG TABLET [10126],0093834301 [9497],NDC,BOTH,1,EA ,3.15,2.65
GLYBURIDE 2.5 MG TABLET [10126],0093943301 [9561],NDC,BOTH,1,EA ,3.15,2.65
GLYBURIDE 2.5 MG TABLET [10126],2315505701 [207262],NDC,BOTH,1,EA ,3.15,2.65
GLYBURIDE 2.5 MG TABLET [10126],5107987201 [56273],NDC,BOTH,1,EA ,2.1,1.76
GLYBURIDE 2.5 MG TABLET [10126],5107987220 [56276],NDC,BOTH,1,EA ,2.1,1.76
GLYBURIDE 2.5 MG TABLET [10126],6213558430 [359194],NDC,BOTH,1,EA ,21.53,18.08
GLYBURIDE 2.5 MG TABLET [10126],6586202901 [201608],NDC,BOTH,1,EA ,3.15,2.65
GLYBURIDE 5 MG TABLET [3489],0093834401 [9500],NDC,BOTH,1,EA ,5.25,4.41
GLYBURIDE 5 MG TABLET [3489],0093834410 [9502],NDC,BOTH,1,EA ,4.46,3.75
GLYBURIDE 5 MG TABLET [3489],0093834498 [193145],NDC,BOTH,1,EA ,5.25,4.41
